SRR4425711_raw_10ksubset,SRR4425665_raw_10ksubset,SRR4425718_raw_10ksubset,SRR4425713_raw_10ksubset,SRR4425663_raw_10ksubset,SRR4425710_raw_10ksubset,SRR4425715_raw_10ksubset,SRR4425719_raw_10ksubset,SRR4425712_raw_10ksubset,SRR4425662_raw_10ksubset,SRR4425666_raw_10ksubset,SRR4425664_raw_10ksubset,SRR4425714_raw_10ksubset,SRR4425660_raw_10ksubset,SRR4425659_raw_10ksubset,SRR4425661_raw_10ksubset
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales",71.0,1.0,6.0,7.0,2.0,46.0,39.0,4.0,7.0,23.0,9.0,10.0,115.0,21.0,60.0,61.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae",17.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,24.0,2.0,2.0,1.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus",127.0,0.0,1.0,1.0,0.0,78.0,95.0,0.0,1.0,10.0,0.0,0.0,139.0,4.0,9.0,19.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus salivarius",135.0,0.0,0.0,0.0,0.0,79.0,39.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus reuteri",26.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,10.0,0.0,0.0,28.0,4.0,5.0,21.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus johnsonii",25.0,1.0,2.0,0.0,0.0,10.0,11.0,0.0,1.0,14.0,0.0,0.0,28.0,7.0,22.0,38.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus crispatus",10.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus amylovorus",7.0,1.0,6.0,16.0,2.0,3.0,3.0,5.0,21.0,15.0,1.0,5.0,13.0,12.0,33.0,29.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus sp. C25",4.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus agilis",4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0
